teammate,years_season,season,m_or_l,position,games_played_per_season,rpg_season,apg_season,spg_season,bpg_season,turnovers_season,ppg_season,3pt_attempts_per_game,3pt_percentage_season,team_season,championship_season,playoffs_reached,playoffs_team_lost_to_won,eliminating_round_series,record,opponent_ppg,team_ppg
Carlos Boozer,2003-2004,1,LeBron,,,11.4,2,1,0.7,,15.5,,0.167,Cavaliers,No,Missed Playoffs,,,35-47,95.5,92.9
Zydrunas Ilgauskas,2003-2004,1,LeBron,,,8.1,1.3,0.5,2.5,,15.3,,0.286,Cavaliers,No,Missed Playoffs,,,35-47,95.5,92.9
Kevin Ollie,2003-2004,1,LeBron,,,2.1,2.9,0.6,0.1,1,4.2,,0.444,Cavaliers,No,Missed Playoffs,,,35-47,95.5,92.9
Jeff McInnis,2003-2004,1,LeBron,,,2.6,7.5,1.2,0.1,1.9,11.7,,0.388,Cavaliers,No,Missed Playoffs,,,35-47,95.5,92.9
Tony Battie,2003-2004,1,LeBron,,,4.8,0.7,0.4,0.9,0.8,5.4,,0.125,Cavaliers,No,Missed Playoffs,,,35-47,95.5,92.9
Orlando Woolbridge,1984-1985,1,Jordan,,,5.6,1.8,0.8,0.5,2.3,22.9,,0,Bulls,No,Lost First Round,Bucks,3-1,,,
Steve Johnson,1984-1985,1,Jordan,,,5.9,0.9,0.5,0.8,2,10,,0,Bulls,No,Lost First Round,Bucks,3-1,,,
Dave Corzine,1984-1985,1,Jordan,,,5.1,1.7,0.4,0.8,1.5,8.5,,0,Bulls,No,Lost First Round,Bucks,3-1,,,
Quintin Dailey,1984-1985,1,Jordan,,,2.6,2.4,0.9,0.1,1.9,16,,0.233,Bulls,No,Lost First Round,Bucks,3-1,,,
Dave Greenwood,1984-1985,1,Jordan,,,6.4,1.3,0.6,0.3,1,6.1,,0,Bulls,No,Lost First Round,Bucks,3-1,,,
Drew Gooden,2004-2005,2,LeBron,,,9.2,1.6,0.9,0.9,1.6,14.4,,0.179,Cavaliers,No,Missed Playoffs,,,42-40,95.7,96.5
Zydrunas Ilgauskas,2004-2005,2,LeBron,,,8.6,1.3,0.7,2.1,,16.9,,0.286,Cavaliers,No,Missed Playoffs,,,42-40,95.7,96.5
Jeff McInnis,2004-2005,2,LeBron,,,2.1,5.1,0.7,0,1.5,12.8,,0.345,Cavaliers,No,Missed Playoffs,,,42-40,95.7,96.5
Anderson Varejao,2004-2005,2,LeBron,,,4.8,0.5,0.8,0.7,0.5,4.9,,0,Cavaliers,No,Missed Playoffs,,,42-40,95.7,96.5
Eric Snow,2004-2005,2,LeBron,,,1.9,3.9,0.8,0.2,1.1,4,,0.289,Cavaliers,No,Missed Playoffs,,,42-40,95.7,96.5
Orlando Woodlridge,1985-1986,2,Jordan,,,5,3,0.7,0.7,2.5,20.7,,0.174,Bulls,No,Lost First Round,Celtics,3-0,,,
Gene Banks,1985-1986,2,Jordan,,,4.4,3.1,1,0.1,1.7,10.9,,0,Bulls,No,Lost First Round,Celtics,3-0,,,
Kyle Macy,1985-1986,2,Jordan,,,2.2,5.4,1,0.1,1.4,8.6,,0.411,Bulls,No,Lost First Round,Celtics,3-0,,,
Charles Oakley,1985-1986,2,Jordan,,,8.6,1.7,0.9,0.4,2.3,9.6,,0,Bulls,No,Lost First Round,Celtics,3-0,,,
George Gervin,1985-1986,2,Jordan,,,2.6,1.8,0.6,0.3,2,16.2,,0.211,Bulls,No,Lost First Round,Celtics,3-0,,,
